Data,Timestamp,entrada
266.47,3489.56,10
266.75,3489.62,10
266.38,3489.67,10
266.75,3489.73,10
266.75,3489.78,10
266.56,3489.83,10
266.47,3489.89,10
266.94,3489.95,10
266.75,3490.0,10
266.47,3490.06,10
266.56,3490.11,10
266.84,3490.16,10
266.47,3490.22,10
266.28,3490.28,10
266.56,3490.33,10
266.56,3490.39,10
266.47,3490.45,10
266.56,3490.51,10
266.47,3490.56,10
267.03,3490.62,10
266.75,3490.67,10
266.66,3490.72,10
266.66,3490.77,10
266.47,3490.83,10
266.75,3490.89,10
266.75,3490.94,10
267.03,3491.0,10
266.94,3491.05,10
268.35,3491.11,10
270.48,3491.16,10
263.37,3491.22,10
266.94,3491.27,10
266.56,3491.32,10
266.56,3491.38,10
266.56,3491.43,10
266.84,3491.48,10
266.56,3491.54,10
266.47,3491.6,10
267.03,3491.65,10
266.66,3491.71,10
266.94,3491.76,10
267.03,3491.82,10
266.47,3491.87,10
267.03,3491.93,10
266.56,3491.98,10
266.66,3492.04,10
267.31,3492.09,10
266.94,3492.15,10
266.56,3492.2,10
266.94,3492.26,10
266.47,3492.31,10
267.03,3492.37,10
267.31,3492.43,10
266.47,3492.48,10
266.47,3492.54,10
266.47,3492.6,10
267.03,3492.66,10
267.78,3492.71,10
267.03,3492.76,10
267.31,3492.81,10
266.66,3492.87,10
266.94,3492.93,10
266.66,3492.98,10
266.47,3493.04,10
266.94,3493.09,10
267.31,3493.15,10
266.47,3493.2,10
266.75,3493.26,10
266.75,3493.32,10
266.47,3493.37,10
267.5,3493.43,10
266.56,3493.48,10
266.56,3493.54,10
266.94,3493.59,10
266.56,3493.64,10
266.66,3493.7,10
266.66,3493.75,10
266.47,3493.8,10
266.84,3493.86,10
266.94,3493.91,10
266.94,3493.96,10
266.75,3494.02,10
266.75,3494.08,10
267.12,3494.14,10
266.56,3494.19,10
266.47,3494.25,10
266.66,3494.3,10
267.03,3494.35,10
267.5,3494.41,10
266.47,3494.46,10
266.19,3494.51,10
266.94,3494.57,10
267.31,3494.62,10
271.56,3494.68,10
271.56,3494.74,10
267.31,3494.8,10
267.12,3494.85,10
266.56,3494.91,10
266.47,3494.97,10
267.31,3495.02,10
266.94,3495.08,10
266.56,3495.14,10
267.31,3495.19,10
267.41,3495.25,10
267.03,3495.3,10
267.03,3495.36,10
266.56,3495.41,10
266.56,3495.46,10
266.66,3495.52,10
266.56,3495.57,10
266.84,3495.63,10
266.75,3495.68,10
266.84,3495.74,10
266.66,3495.8,10
267.31,3495.85,10
266.66,3495.91,10
266.94,3495.97,10
266.56,3496.02,10
266.94,3496.08,10
267.5,3496.13,10
267.41,3496.19,10
266.94,3496.24,10
267.69,3496.29,10
267.41,3496.34,10
265.91,3496.4,10
266.56,3496.46,10
267.97,3496.51,10
267.12,3496.57,10
266.56,3496.63,10
266.56,3496.69,10
266.84,3496.74,10
267.41,3496.8,10
266.47,3496.86,10
267.12,3496.91,10
266.66,3496.96,10
266.94,3497.01,10
267.41,3497.07,10
267.41,3497.12,10
267.03,3497.18,10
266.75,3497.24,10
267.5,3497.3,10
266.94,3497.36,10
267.31,3497.41,10
266.84,3497.46,10
266.66,3497.51,10
266.75,3497.57,10
266.66,3497.63,10
267.41,3497.69,10
267.03,3497.75,10
266.94,3497.8,10
266.66,3497.86,10
267.12,3497.91,10
266.94,3497.96,10
267.03,3498.02,10
267.12,3498.07,10
267.31,3498.13,10
266.66,3498.18,10
266.47,3498.24,10
266.56,3498.29,10
266.28,3498.34,10
266.01,3498.39,10
265.91,3498.45,10
266.94,3498.5,10
267.31,3498.55,10
267.12,3498.61,10
267.41,3498.67,10
267.12,3498.72,10
267.31,3498.77,10
266.56,3498.83,10
266.75,3498.88,10
266.94,3498.93,10
267.03,3498.99,10
267.12,3499.05,10
266.94,3499.1,10
266.94,3499.15,10
267.12,3499.21,10
266.75,3499.27,10
266.66,3499.32,10
